id;nom;color
AL;Albanie;grey
AM;Arménie;grey
AT;Autriche;blue
AZ;Azerbaïdjan;grey
BA;Bosnie-Herzégovine;grey
BE;Belgique;blue
BG;Bulgarie;blue
BY;Bélarus;blue
CH;Suisse;grey
CY;Chypre;blue
CZ;République Tchèque;blue
DE;Allemagne;blue
DK;Danemark;blue
DZ;Algérie;grey
EE;Estonie;blue
ES;Espagne;blue
FI;Finlande;blue
FR;France;blue
GB;Royaume-unis;grey
GE;Géorgie;grey
GR;Grèce;blue
HR;Croatie;blue
HU;Hongrie;blue
IE;Irlande;blue
IQ;Iraq;grey
IR;République islamique d'Iran;grey
IS;Islande;grey
IT;Italie;blue
KZ;Kazakhstan;grey
LB;Liban;grey
LT;Lituanie;blue
LU;Luxembourg;blue
LV;Lettonie;blue
MA;Maroc;grey
MD;République de Moldavie;grey
ME;Monténégro;grey
MK;Ex-République yougoslave de Macédoine;grey
MT;Malte;blue
NL;Pays-Bas;blue
NO;Norvège;blue
PL;Pologne;blue
PT;Portugal;blue
RO;Roumanie;blue
RS;Serbie;grey
RU;Fédération de Russie;grey
SE;Suède;blue
SI;Slovénie;blue
SK;Slovaquie;blue
SY;République arabe syrienne;grey
TN;Tunisie;grey
TR;Turquie;grey
UA;Ukraine;grey
XK;Samoa;grey
